Adressutal;X;Y;Húsanr;Húsatal;Húsastavur;Húsanavn;Veganr;Postnr;Kommununr;Eindir;Býlingsnr;Rætningur;LfyBygd;Galdandi_frá
2;;;0;0;;Ókendur bústaður;0;0;0;;;;;
1;211425.52;877448.36;11;11;;;819;100;29;;;249.02;470101;2004-11-30
3;211100.22;877328.67;1;1;;;1038;100;29;;;187.42;470101;2004-11-30
5;211317.16;877568.93;23;23;;;819;100;29;;;249.85;470101;2004-11-30
6;211039.82;877274.91;5;5;;;1038;100;29;;;118.49;470101;2004-11-30
8;211508.64;877840.45;21;21;;;816;100;29;;;373.10;470101;2004-11-30
10;211292.57;877601.45;27;27;;;819;100;29;;;262.10;470101;2004-11-30
11;210850.00;877488.87;11;11;;;1026;100;29;;;264.64;470101;2004-11-30
14;211618.23;877360.94;6;6;;;819;100;29;;;213.52;470101;2004-11-30
15;211084.35;877354.66;2;2;;;1038;100;29;;;151.23;470101;2004-11-30
16;211541.61;880262.37;16;16;;;840;188;29;;;255.42;470108;2004-11-30
18;211049.26;877330.12;6;6;;;1038;100;29;;;127.38;470101;2004-11-30
19;211605.50;877362.50;8;8;;;819;100;29;;;213.49;470101;2004-11-30
21;210998.88;877287.55;10;10;;;1038;100;29;;;105.79;470101;2004-11-30
22;211592.29;877363.37;10;10;;;819;100;29;;;212.90;470101;2004-11-30
23;211001.55;877263.46;12;12;;;1038;100;29;;;149.12;470101;2004-11-30
24;211571.44;877361.16;12;12;;;819;100;29;;;213.39;470101;2004-11-30
27;211020.51;877309.03;8;8;;;1038;100;29;;;132.46;470101;2004-11-30
28;210973.03;880671.80;64;64;;;1226;188;29;;;121.33;470108;2004-11-30
29;211554.10;877368.05;14;14;;;819;100;29;;;209.65;470101;2004-11-30
31;210963.10;877321.00;15A;15;A;;1127;100;29;;;105.63;470101;2004-11-30
33;211046.31;880708.00;50;50;;;1226;188;29;;;121.38;470108;2004-11-30
34;210845.64;879758.53;15;15;;;1285;100;29;;37;158.01;470101;2004-11-30
35;211012.60;880203.13;11;11;;;1315;100;29;;37;264.35;470101;2004-11-30
36;210953.20;877125.58;9;9;;;937;100;29;;;187.47;470101;2004-11-30
37;210984.28;877116.67;8;8;;;937;100;29;;;180.55;470101;2004-11-30
38;210189.52;877766.18;56;56;;;1049;100;29;;;111.11;470101;2004-11-30
39;211333.91;877624.72;30;30;;;819;100;29;;;262.24;470101;2004-11-30
40;211124.58;879256.98;1;1;;;1173;100;29;;37;178.49;470101;2004-11-30
41;211149.32;879725.14;16;16;;;1552;100;29;;37;135.42;470101;2004-11-30
42;209142.71;876942.49;6;6;;;821;100;29;;;221.34;470101;2004-11-30
43;212503.40;878027.04;7;7;;;1149;100;29;;37;261.75;470101;2004-11-30
44;209245.76;876874.46;15;15;;;817;100;29;;;221.72;470101;2004-11-30
45;208813.89;876966.74;19;19;;;813;100;29;;;200.00;470101;2004-11-30
46;211215.02;878857.36;5;5;;;987;100;29;;;155.55;470101;2004-11-30
47;211113.31;879284.91;7;7;;;1173;100;29;;37;131.70;470101;2004-11-30
48;210643.96;877175.89;8B;8;B;;1032;100;29;;;71.32;470101;2004-11-30
49;211132.61;879282.52;9;9;;;1173;100;29;;37;132.13;470101;2004-11-30
50;211181.81;878829.76;9;9;;;987;100;29;;;155.85;470101;2004-11-30
51;211164.39;878807.80;11;11;;;987;100;29;;;156.35;470101;2004-11-30
52;211196.75;879265.80;21;21;;;1173;100;29;;37;239.55;470101;2004-11-30
54;211146.98;879249.50;2;2;;;1173;100;29;;37;138.70;470101;2004-11-30
55;211201.61;878870.36;6;6;;;987;100;29;;;156.12;470101;2004-11-30
