Býlingsnr;Býlingur
1;á Kvíggjarheyggi
3;Eystara Hella
5;Heimi við Hús
6;Suðuri á Bakka
7;Norðuri í Húsi
8;Heimi í Húsi
9;Suðuri á Bø
10;Uppi á Keldu
12;Lægdin
13;Millum Garðarnar
14;Suðuri á Leiti
15;Uppi á Gørðum
17;Í Skálum
18;Í Giljum
19;Við Toftir
20;Við Neyst
21;Undir Økslini
22;Á Heyggi
23;Toftadalur
24;Óðalsbrekka
25;Í Fjalstrøðini
26;Við Krógv
27;Á Hamri
28;Á Hólum
29;Í Garðsenni
30;Við Bakkhús
31;Á Hólalagi
32;Í Heiðatrøðini
33;Úti í Rætt
34;Úti í Bø
35;Í Nesi
36;Akraberg
37;Tórsh. eystara kirkjusókn
