Veganr;X;Y;Vegur;Vegur_s;Postnr;Kommununr;Rætningur;Galdandi_frá
688;221881.26;902385.35;Ziskagøta;ziskagøta;700;5;;2004-11-30
689;222087.04;902257.28;Geilin;geilin;700;5;;2004-11-30
690;221966.28;902319.71;við Grástein;við grástein;700;5;;2004-11-30
693;221861.26;902197.42;á Eiðinum;á eiðinum;700;5;;2004-11-30
695;221826.55;902174.66;Skúlavegur;skúlavegur;700;5;;2004-11-30
697;221651.84;902224.47;Biskupsstøðgøta;biskupsstøðgøta;700;5;;2004-11-30
698;221331.11;902258.58;Klaksvíksvegur;klaksvíksvegur;700;5;;2004-11-30
702;222013.30;902271.64;Skarðsvegur;skarðsvegur;700;5;;2004-11-30
703;222052.05;902169.12;Gerðagøta;gerðagøta;700;5;;2004-11-30
707;222123.33;902079.76;Sornhúsgøta;sornhúsgøta;700;5;;2004-11-30
711;222053.85;901878.81;Mýrivegur;mýrivegur;700;5;;2004-11-30
712;220757.53;903172.83;Bumshamarsvegur;bumshamarsvegur;700;5;;2004-11-30
714;221465.53;901984.19;Brattabrekka;brattabrekka;700;5;;2004-11-30
716;221409.41;902080.11;Fornabrekka;fornabrekka;700;5;;2004-11-30
717;221838.59;901896.71;Fossagøta;fossagøta;700;5;;2004-11-30
719;221821.76;901795.90;Uppsalagøta;uppsalagøta;700;5;;2004-11-30
722;221333.09;903163.19;Skáltavegur;skáltavegur;700;5;;2004-11-30
724;221578.46;902738.71;Kjalarvegur;kjalarvegur;700;5;;2004-11-30
726;221562.61;902646.18;Garðavegur;garðavegur;700;5;;2004-11-30
727;221427.01;903081.92;Helnabrekka;helnabrekka;700;5;;2004-11-30
728;221174.76;903542.06;Stangavegur;stangavegur;700;5;;2004-11-30
729;220676.04;902876.93;Undir Klakki;undir klakki;700;5;;2004-11-30
732;221908.84;901741.70;Undir Hæddini;undir hæddini;700;5;;2004-11-30
733;221948.90;901701.82;Oman Eið;oman eið;700;5;;2004-11-30
734;221832.57;901597.17;Rættargøta;rættargøta;700;5;;2004-11-30
735;221804.50;901552.63;Niðan Horn;niðan horn;700;5;;2004-11-30
736;220807.83;902931.32;Kelduskákið;kelduskákið;700;5;;2004-11-30
737;221252.82;902204.55;Víkavegur;víkavegur;700;5;;2004-11-30
742;221298.63;901924.29;Undir Fossum;undir fossum;700;5;;2004-11-30
744;221274.23;901856.18;Undir Brúnni;undir brúnni;700;5;;2004-11-30
746;221005.78;902281.60;Klaksvíksskákið;klaksvíksskákið;700;5;;2004-11-30
747;220926.85;902244.27;Undir Hálsi;undir hálsi;700;5;;2004-11-30
748;221691.43;901963.10;Karlsvegur;karlsvegur;700;5;;2004-11-30
749;221811.98;901744.69;Rygsvegur;rygsvegur;700;5;;2004-11-30
751;221720.13;902427.08;Heygavegur;heygavegur;700;5;;2004-11-30
752;221825.79;901942.24;Bøgøta;bøgøta;700;5;;2004-11-30
756;221802.20;902417.43;Kráargøta;kráargøta;700;5;;2004-11-30
758;221519.14;902531.94;Nólsoyar Pálsgøta;nólsoyar pálsgøta;700;5;;2004-11-30
760;221233.84;903503.93;Túvuvegur;túvuvegur;700;5;;2004-11-30
762;221159.40;903332.37;Kósarbrúgvin;kósarbrúgvin;700;5;;2004-11-30
763;221285.76;902776.96;Stangabrúgvin;stangabrúgvin;700;5;;2004-11-30
764;221372.70;902613.97;Varpabrúgvin;varpabrúgvin;700;5;;2004-11-30
766;221624.17;902305.09;Tingstøðin;tingstøðin;700;5;;2004-11-30
767;220984.46;902982.11;Norðborg;norðborg;700;5;;2004-11-30
768;221109.21;902759.14;Stórabryggja;stórabryggja;700;5;;2004-11-30
769;221164.24;902560.49;Heimara bryggja;heimara bryggja;700;5;;2004-11-30
770;220959.66;902752.66;Faktorsvegur;faktorsvegur;700;5;;2004-11-30
771;221610.43;902026.94;á Fløttinum;á fløttinum;700;5;;2004-11-30
772;221653.17;902052.06;Vágstún;vágstún;700;5;;2004-11-30
773;221887.74;902055.05;Jógvan Waagsteinsgøta;jógvan waagsteinsgøta;700;5;;2004-11-30
774;222033.94;901768.32;Nýggivegur;nýggivegur;700;5;;2004-11-30
775;222195.78;901856.02;Flesjavegur;flesjavegur;700;5;;2004-11-30
780;220803.16;903171.20;Torvgøta;torvgøta;700;5;;2004-11-30
781;220713.01;903153.99;Garðsendi;garðsendi;700;5;;2004-11-30
782;220899.64;902719.37;Grótbrekka;grótbrekka;700;5;;2004-11-30
783;220971.51;902596.81;Jústabrekka;jústabrekka;700;5;;2004-11-30
784;221078.61;902519.47;Sniðgøta;sniðgøta;700;5;;2004-11-30
785;221097.97;902445.73;Búðabrekka;búðabrekka;700;5;;2004-11-30
786;221170.77;902346.04;Lávíkabrekka;lávíkabrekka;700;5;;2004-11-30
787;221199.30;902301.47;Kommunubrekka;kommunubrekka;700;5;;2004-11-30
788;221264.80;902258.31;Hvíthúsbrekka;hvíthúsbrekka;700;5;;2004-11-30
789;221038.87;902382.30;Búðaskákið;búðaskákið;700;5;;2004-11-30
790;221089.07;902328.22;Líggjasarbrekka;líggjasarbrekka;700;5;;2004-11-30
791;221524.39;901973.23;í Garðinum;í garðinum;700;5;;2004-11-30
793;221415.69;901918.07;við Mylnutún;við mylnutún;700;5;;2004-11-30
794;221556.50;902010.82;Vágsheygsgøta;vágsheygsgøta;700;5;;2004-11-30
795;221468.57;902080.43;Selheygsgøta;selheygsgøta;700;5;;2004-11-30
796;221497.69;901934.22;á Brekku;á brekku;700;5;;2004-11-30
797;221306.69;901997.99;Mylnugøta;mylnugøta;700;5;;2004-11-30
799;221299.36;902036.40;Brekkuskákið;brekkuskákið;700;5;;2004-11-30
801;221429.37;902050.30;Vágsgeil;vágsgeil;700;5;;2004-11-30
802;221561.64;902060.53;Kirkjubrekka;kirkjubrekka;700;5;;2004-11-30
803;221669.33;902379.27;Marknavegur;marknavegur;700;5;;2004-11-30
804;221537.07;902587.58;Jørundsgøta;jørundsgøta;700;5;;2004-11-30
805;221683.77;902491.72;Fjósabrekka;fjósabrekka;700;5;;2004-11-30
810;211960.74;878247.21;Bøkjarabrekka;bøkjarabrekka;100;29;174.82;2004-11-30
811;209158.84;877005.97;Faksagøta;faksagøta;100;29;218.99;2004-11-30
812;209010.83;877058.95;Granagøta;granagøta;100;29;220.90;2004-11-30
813;208894.54;876992.56;Blankagøta;blankagøta;100;29;171.33;2004-11-30
814;208877.85;877044.16;Brúnagøta;brúnagøta;100;29;170.64;2004-11-30
815;211458.01;877720.47;Handan Á;handan á;100;29;110.20;2004-11-30
816;210703.03;877324.79;Landavegur;landavegur;100;29;164.44;2004-11-30
817;209206.28;876876.22;Sleipnisgøta;sleipnisgøta;100;29;219.50;2004-11-30
818;211533.40;877212.52;Eirargarður;eirargarður;100;29;110.87;2004-11-30
819;211566.84;877351.59;á Frælsinum;á frælsinum;100;29;212.16;2004-11-30
820;208826.67;877097.64;Reyðagøta;reyðagøta;100;29;221.86;2004-11-30
821;209215.04;876927.16;Skemmingsgøta;skemmingsgøta;100;29;220.79;2004-11-30
822;211604.87;877410.49;Háskúlavegur;háskúlavegur;100;29;211.28;2004-11-30
823;211624.50;877510.90;Hornagøta;hornagøta;100;29;212.57;2004-11-30
824;211585.16;877472.46;Símunargøta;símunargøta;100;29;114.55;2004-11-30
825;211621.20;877462.90;Rasmusargøta;rasmusargøta;100;29;114.26;2004-11-30
827;211765.52;877450.82;Rundingur;rundingur;100;29;188.52;2004-11-30
828;211587.40;877953.23;Fríðriks Petersens gøta;fríðriks petersens gøta;100;29;267.05;2004-11-30
829;211648.39;877892.71;V.U. Hammershaimbsgøta;v.u. hammershaimbsgøta;100;29;166.15;2004-11-30
830;211785.09;878226.13;Tórsgøta;tórsgøta;100;29;264.19;2004-11-30
831;211662.21;878300.91;Tróndargøta;tróndargøta;100;29;264.71;2004-11-30
832;211774.02;878165.53;Niels Winthers gøta;niels winthers gøta;100;29;167.27;2004-11-30
834;211631.04;878355.34;Varðagøta;varðagøta;100;29;261.96;2004-11-30
835;211740.17;878514.78;oman Pisuvarða;oman pisuvarða;100;29;170.95;2004-11-30
836;211759.81;878444.44;undir Pisuvarða;undir pisuvarða;100;29;165.48;2004-11-30
837;211634.19;878677.02;Hoydalsvegur;hoydalsvegur;100;29;275.79;2004-11-30
838;211765.52;878768.82;R.C. Effersøes gøta;r.c. effersøes gøta;100;29;279.39;2004-11-30
839;211092.27;879226.88;Gundadalsvegur;gundadalsvegur;100;29;235.58;2004-11-30
840;211504.82;880276.10;Djúpagilsvegur;djúpagilsvegur;188;29;253.13;2004-11-30
841;212514.97;879534.36;Yviri við Strond;yviri við strond;100;29;230.17;2004-11-30
842;211608.99;879258.34;Norðari Ringvegur;norðari ringvegur;100;29;205.69;2004-11-30
843;212018.48;879390.06;Eystari Ringvegur;eystari ringvegur;100;29;185.80;2004-11-30
847;211280.21;877804.47;Jóannesar Paturssonar gøta;jóannesar paturssonar gøta;100;29;160.07;2004-11-30
848;211592.43;880452.55;Løgmannabreyt;løgmannabreyt;188;29;247.25;2004-11-30
849;211568.33;880427.97;Kristiansgøta;kristiansgøta;188;29;253.62;2004-11-30
850;211496.50;880412.44;Hákunargøta;hákunargøta;188;29;251.32;2004-11-30
851;211577.47;880293.34;Pætursgøta;pætursgøta;188;29;251.79;2004-11-30
859;211343.01;880900.50;Gillagøta;gillagøta;188;29;252.37;2004-11-30
860;211336.29;880804.27;Guttormsgøta;guttormsgøta;188;29;250.57;2004-11-30
862;211247.38;880825.89;Ísaksgøta;ísaksgøta;188;29;250.87;2004-11-30
863;211272.17;880689.43;Jóansgøta;jóansgøta;188;29;250.00;2004-11-30
864;212025.10;878941.87;Spógvavegur;spógvavegur;100;29;150.28;2004-11-30
865;212119.05;878806.43;Mýrisnípuvegur;mýrisnípuvegur;100;29;179.89;2004-11-30
866;212045.50;878081.81;Amtmansbrekkan;amtmansbrekkan;100;29;170.47;2004-11-30
867;212153.01;878624.12;Láarvegur;láarvegur;100;29;310.09;2004-11-30
868;212074.16;878556.77;Traðabrekka;traðabrekka;100;29;215.37;2004-11-30
869;212039.31;878459.11;Egholmstrøð;egholmstrøð;100;29;215.60;2004-11-30
870;212406.26;879534.59;Hoyvíksvegur;hoyvíksvegur;100;29;126.09;2004-11-30
871;212078.63;878361.34;Fjósagøta;fjósagøta;100;29;286.52;2004-11-30
872;212055.24;878356.02;Sornhúsgøta;sornhúsgøta;100;29;282.28;2004-11-30
876;211939.32;877945.79;undir Bryggjubakka;undir bryggjubakka;100;29;260.91;2004-11-30
877;212545.99;878161.38;Bókbindaragøta;bókbindaragøta;100;29;149.98;2004-11-30
879;212434.46;878140.53;Lítlatrøð;lítlatrøð;100;29;280.34;2004-11-30
880;211823.70;878115.71;Sverrisgøta;sverrisgøta;100;29;164.52;2004-11-30
883;211946.01;879052.55;Vípuvegur;vípuvegur;100;29;143.95;2004-11-30
884;212233.06;878438.03;Essalág;essalág;100;29;193.44;2004-11-30
885;212532.15;878859.67;Stoffalág;stoffalág;100;29;109.04;2004-11-30
886;212391.49;878683.87;Tjarnardeild;tjarnardeild;100;29;119.64;2004-11-30
